drugName,condition,review,rating
Zohydro ER,Pain,"My doctor prescribed 10mg once or twice a day to address some nasty sciatic pain. Maybe the dosage is low, but it really had no discernible effect on the pain after several days usage. I don't want another expensive shot to deal with it either. I have had two, and they only provided about one week of relief, while costing me plenty even with insurance.",6
Afrezza,"Diabetes, Type 2","Those who are complaining that this is not working are likely Afreeza's competitors. I'm 6ft, 170 lbs well and reasonably fit. I've genetic type-2 diabetes (every male member in my family has it). Was on metformin but body started to develop resistance towards the drug. I hate needles, so Afreeza was god-send for me. I took a simple spirometric test and was prescribed the drug. This drug is phenomenal. One cartridge is 4u, I typically need 4u along with regular food and I'm all set. Blood sugar is within normal levels within the next 90 mins. Please don't spread bad news if you are a competitor. You are playing with people's lives here.",10
Dulcolax Laxative,Bowel Preparation,"2 days, 2 pills a night. It will clean you out good, but at a cost. Burning pain and an hour of cramping later, you'd wish you never took it. It's not worth it. If you have another option do it. So far the worst pain I've ever felt.",1
Tylenol with Codeine #3,Pain,"Took literally 45 minutes to kick in when I have severe debilitating rheumatoid arthritis and I had a bad fall, went to ER gave me this while I went in for x-ray still no relief. Finally 45 mins I can feel my pain slightly go away.",5
Hydrocodone / ibuprofen,Pain,This medication has been the most effective pain reliever I have taken for my kidney inflammation and irritation pains. Have tried multiply pain medication but this one is the most efficent for relief and duration.,10
Glimepiride,"Diabetes, Type 2",After two weeks on this medication I got severe stomach pains and feelings of fullness. The pains went away about three days after stopping this medication but three months later still have the fullness. Now I have to have a camera put into my stomach to see what's going on.,1
Methadone,Pain,This medication has not helped my pain level in any way but has kept me up at night and given me an upset stomach.,1
Finacea,Acne,"I have been using the product for approximately 1 month for my cystic acne. I have yet to notice any improvement in my acne. I do think my face is more smooth and less red, however. My adult cystic acne is very stubborn and related to my menstrual cycle. I hope it will improve with continued use!",5
Copaxone,Multiple Sclerosis,"I was diagnosed relapsing-remitting Multiple Sclerosis MS April 2016. August 2016 and February 2017 the MRI showed minimal activity. My neurologist advised me to start using Copaxone, 3 times a week - 40 mg. I've been injecting myself without the auto injector and so far so good. I only inject in my belly and legs (in the evening). When injecting in my belly I experience a burning/itchy feeling. This fades away after an hour. It's an awkward feeling but not a big deal. When injecting my legs I experience stiffness of my leg muscle. After a few hours it is gone. The stiffness is a nuisance but not a big deal. Next morning, no more itchy sensations or muscle stiffness. All gone. Because I am only using it for 2 weeks I don't know if it helps but so far I am very happy",8
Megestrol,Abnormal Uterine Bleeding,"I am 46yrs old having my period 34 days and for over two weeks with extremely heavy bleeding , going through ultra tampon every hour. I also had clots the size muchin hole donuts. So My doctor put me on Megestrol 40mg once a day on 12-4 and by that evening the bleeding slowed down so much that I only had to use a panty liner for spotting. I have been taking it for only four days. I am grateful for this medication. Hopefully when I return to my doctor surgery is not an issue anymore. And this stops my period for good.",10
Ativan,Anxiety,Very effective for me. It has also been prescribed for my vertigo as well as anxiety. 0.5 mg is enough for me to feel the anxious feeling subside. Sometimes even half a pill is fine to take the edge off. I only use about 5 pills a month.,8
Amitriptyline,Migraine Prevention,"My daughter is16. She started getting migraines around age 12. At first they were every 3 months for a year then once a month and this last year at age 15 they became two or three times a week! We tried Imitrex nose spray and once the urgent care gave her Fioricet. Nothing worked. She had severe aura, loss of vision then the headache followed by vomiting. Also once she was given Topamax which had too many bad side effects. She will be going to Germany for one year as a foreign exchange student and I was going to have to cancel that if we couldn't find a way to get this under control. I took her to a children's neurologist and she gave her Amitriptyline. It has been an absolute miracle for us!! No side effects & NO more migraines!",10
Topiramate,Obesity,"I have had good success with weight loss with 50mg Topiramate & a therapist for stress eating. I went from 265lb to 195lb with watching diet in 12 months, walking 2-3 miles/day. Topiramate makes you less hungry, the rest is up to you. (I did get some brain fog.) I took magnesium and biotin, as the reduced appetite can cause nutritional deficiencies in some that can give you hair loss if you aren't careful and the magnesium helps you ""go""! If you're taking that Topiramate at night, a small dose of melatonin every few days (if you take melatonin consistently every night your own pineal gland will stop producing it and you'll have more sleep probs!)",8
